code;literal
A000;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE
A009;COLERA, NO ESPECIFICADO
A001;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR
A009;COLERA, NO ESPECIFICADO
A010;FIEBRE TIFOIDEA
A011;FIEBRE PARATIFOIDEA A
A012;FIEBRE PARATIFOIDEA B
A013;FIEBRE PARATIFOIDEA C
A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA
A020;ENTERITIS DEBIDA A SALMONELLA
A021;SEPTICEMIA DEBIDA A SALMONELLA
A022;INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA
A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029;INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA
A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038;OTRAS SHIGELOSIS
A039;SHIGELOSIS DE TIPO NO ESPECIFICADO
A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051;BOTULISMO
A052;INTOXICAC ALIMENTAR DEBIDA CLOSTRIDIUM PERFRINGENS CLOSTRIDIUM WELCHII
A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA
T629;SUSTANCIA NOCIVA INGERIDA COMO ALIMENTO, NO ESPECIFICADA
A060;DISENTERIA AMEBIANA AGUDA
A061;AMEBIASIS INTESTINAL CRONICA
A060;DISENTERIA AMEBIANA AGUDA
A062;COLITIS AMEBIANA NO DISENTERICA
A064;ABSCESO AMEBIANO DEL HIGADO
A065;ABSCESO AMEBIANO DEL PULMON (J99.8*)
A066;ABSCESO AMEBIANO DEL CEREBRO (G07*)
A067;AMEBIASIS CUTANEA
A060;DISENTERIA AMEBIANA AGUDA
A063;AMEBOMA INTESTINAL
A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A060;DISENTERIA AMEBIANA AGUDA
A061;AMEBIASIS INTESTINAL CRONICA
A069;AMEBIASIS, NO ESPECIFICADA
A070;BALANTIDIASIS
A071;GIARDIASIS (LAMBLIASIS)
A073;ISOSPORIASIS
A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A072;CRIPTOSPORIDIOSIS
A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA
A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A020;ENTERITIS DEBIDA A SALMONELLA
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A045;ENTERITIS DEBIDA A CAMPYLOBACTER
A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA
A080;ENTERITIS DEBIDA A ROTAVIRUS
